,Episode Number,Title,Plot,Release Date,Average Rating
545,546,Totsuzen no Higeki! Mirai o Tozasu Kyoudan,Vander Decken IX discovers about the Tamatebako and wishes to use it to age Shirahoshi after she grows up a little.,"Sun, May 6, 2012",7.9
546,547,Futatabi Genzai e! Ugokidasu Hody,"After Otohime passed away, Hody Jones had found and killed the suspected human assassin and showed him to the people.","Sun, May 13, 2012",7.6
547,548,Oukoku Gekishin: Neptune Shokei Shirei,Hody makes his announcement to take over the Ryugu Kingdom with the execution of King Neptune as the start of his new rule. Hody also announces that he will kill Straw Hats so that they will serve as example to all humans in the surface.,"Sun, May 20, 2012",7.5
548,549,Shoujita Kiretsu! Luffy Tai Jinbe,"Luffy and Jinbe start their duel to see who gets to fight Hody, but their fight was cut short by Sanji's and Robin's interference.","Sun, May 27, 2012",7.6
549,550,Hody no Ihen: Kyouyaku no Shin no Chikara!,"The New Fishman Pirates head to the Gyoncorde Plaza to execute King Neptune but before getting at the plaza, they demonstrate a little taste of their power by terrorizing and destroying everything in their path.","Fri, Jun 1, 2012",7.0
550,551,Kessen Hajimaru: Gyoncorde Hiroba!,Neptune's army put up an attempt to stop Hody Jones and his pirates from reaching Gyoncorde Plaza but seeing the king held hostage prevents them from attacking.,"Sun, Jun 10, 2012",7.1
551,552,Shougeki no Kokuhaku: Otohime Ansatsu no Shinjitsu,Jinbe and Shirahoshi are captured by the New Fishman Pirates when they fall into a trap due to a balloon version of King Neptune which easily tricks Shirahoshi and Megalo.,"Sun, Jun 17, 2012",7.2
552,553, Shirahoshi no Namida! Luffy Tsui ni Toujou,Shirahoshi reveals that Megalo witnessed Hody shooting Queen Otohime and told her in secret.,"Sun, Jun 24, 2012",8.1
553,554,Dai Gekitotsu! Mugiwara Ichimi VS 10 Man no Teki,The citizens celebrate at the arrival of Luffy and his crew. Jinbe comments on how his plan with the Straw Hat Pirates crew worked. Luffy takes down half of Hody's forces with Haki.,"Sun, Jul 1, 2012",9.0
554,555,Oowaza Sakuretsu! Zoro Sanji Shutsugeki!,"The Straw Hat Pirates begin their attack with Luffy, Zoro and Sanji taking the lead in the fight but mostly it is the latter two of the three who begin showing their new powers and abilities from their two year separation and training.","Sun, Jul 8, 2012",7.8
555,556,Hatsu Hirou! Sunny Gou no Himitsu Heiki!,The battle rages on between the Straw Hats and the New Fishman Pirates. Sanji and Zoro are competing over who can take down the most fishmen.,"Sun, Jul 15, 2012",7.6
556,557,Iron Pirate! Franky Shougun Toujou,"The battle between the New Fishman Pirates and the Straw Hats continues, with the Straw Hats gaining the upper hand. Seeing this, Daruma decides to join the fight, targeting the Brachio Tank V and collapsing the ground underneath it.","Sun, Jul 29, 2012",7.5
557,558,Noah Sekkin! Gyojintou Kaimetsu no Kiki!,Luffy and Hody continue their fight with Luffy getting the upper hand with Haki and Hody's attacks being ineffective against Luffy.,"Sun, Aug 5, 2012",7.3
558,559,Isoge Luffy! Shirahoshi Zettaizetsumei,"Shirahoshi begins swimming out to sea in an attempt to lure the ark Noah away and save Fishman Island, while Luffy gets Sanji's help to allow him to reach the ship's chains and stop Hody.","Sun, Aug 12, 2012",7.1
559,560,Gekitou Kaishi! Luffy Tai Hody!,"Hody takes his trident out of Vander Decken's body and, after a short fight, Decken is defeated. Then Hody goes after Shirahoshi, slicing through Ryuboshi and Manboshi, reaches her with his incomparable underwater speed, and grabs her hair.","Sun, Aug 19, 2012",7.3
560,561, Dairansen! Ichimi Tai Shin Gyojin Kaizokudan!,Luffy along with the three princes try to protect Shirahoshi against Hody Jones.,"Sun, Aug 26, 2012",7.3
561,562,Luffy Haiboku!? Hody Fukushuu no Toki,"As the Noah falls onto the Fishman Island, Shirahoshi desperately tries to tell Decken to wake up only for Hody to attack her but Manboshi takes the blunt of the attack.","Sun, Sep 2, 2012",7.0
562,563,Shougeki no Jijitsu! Hody no Shoutai!,"The story goes back before the Noah started falling back to the island. Jinbe and Sanji continue to fight Wadatsumi and Wadatsumi becomes angry and inflates himself, crushing some of his allies unknowingly.","Sun, Sep 9, 2012",6.9
563,564,Zero ni! Luffy e no Atsuki Negai!,Hody's past is revealed and Luffy continues his fight with him.,"Sun, Sep 16, 2012",7.2
564,565,Luffy Konshin no Ichigeki! Red Hawk Sakuretsu,Brook continues to fight Zeo and reveals his new control over his Yomi Yomi no Mi abilities. Usopp continues to fight Daruma and has set traps for him.,"Sun, Sep 23, 2012",7.7
565,566,Tsui ni Kecchaku! Hody Saishuu Kessen,Hody recovers thanks to the Energy Steroids and manages to overwhelm Luffy and bite him again in the same spot.,"Sun, Sep 30, 2012",7.6
566,567,Tomare Noah! Kesshi no Elephant Gatling!,All of the New Fishman Pirates lie down defeated while the Straw Hat Pirates are relaxing and waiting for Luffy.,"Sun, Oct 7, 2012",7.6
567,568,Mirai e! Taiyou e to Tsuzuku Michi!,"With the Sea Kings having stopped and saved the great ship Noah, Shirahoshi learns a startling secret from the Sea Kings.","Sun, Oct 14, 2012",7.8
568,569,Akasareta Himitsu: Kodai Heiki no Shinjitsu,"As the whole Fishman Island celebrates the capture and defeat of Hody and the New Fishman Pirates by the Straw Hats, who make their own plans to leave Fishman Island soon.","Sun, Oct 21, 2012",7.4
569,570,Ichimi Kyougaku! Aratanaru Kaigun Gensui!,King Neptune talks about the Ancient Weapons with Shirahoshi and Nico Robin while Caribou listens and makes his way to Shirahoshi's room.,"Wed, Nov 28, 2012",7.9
570,571, Okashizuki! Yonkou Big Mom,"The rest of the Straw Hats are waiting for Luffy, Zoro, and Sanji to return the treasure from Caribou. They find Caribou easily with all the treasure.","Sun, Nov 4, 2012",7.9
571,572,Zento Tanan: Shin Sekai ni Machiukeru Wana,"The Minister of the Right was thanking the Straw Hats for saving Fishman Island, when suddenly he got a report that the Tamate Box is gone and is in the hands of Baron Tamago and Pekoms.","Sun, Nov 11, 2012",7.6
572,573,Tsui ni Shukkou! Sayonara Gyojin-tou,The mermaids and Keimi from the Mermaid Cafe ask Madam Shyarly if they can say good bye to the Straw Hats. Madam Shyarly says that her prediction that Luffy will destroy Fishman Island was wrong since they defeated Hody and his Pirates.,"Sun, Nov 18, 2012",7.4
573,574,Shin Sekai e! Saikyou no Umi o Mezashite,The Straw Hats are Heading into the New World.,"Sun, Nov 25, 2012",7.3
574,575,Z no Yabou Hen: Chiisana Kyojin Lily!,The Straw Hats find themselves in a middle of an infamous sea in the New World known for its mirages and outrageous weather patterns.,"Sun, Dec 2, 2012",6.9
575,576,Z no Yabou Hen: Nazo no Saikyou Gundan Toujou!,"Nami creates a plan for the Straw Hats to rescue Lily's father, Panz Fry. Chopper, Robin, Brook, and Luffy are the diversion group while Usopp, Sanji, Zoro, and Lily are in the submarine.","Sun, Dec 9, 2012",6.9
576,577,Z no Yabou Hen: Kesshi no Dai Dasshutsu Sakusen!,"Luffy and Zoro face off against Shuzo and Momonga. The Straw Hats, Lily, and her father manage to escape with a Coup de Burst and the anchor connected to the Thousand Sunny.","Sun, Dec 16, 2012",6.7
577,578,Z no Yabou Hen: Luffy VS Shuzo!,Shuzo orders his men to be launched at the island like torpedoes and sacrifice themselves for him.,"Sun, Nov 4, 2012",6.5
578,579,Jouriku! Moeru Shima Punk Hazard,"The Straw Hats have arrived at a volcanic island that does not show on the New World Log Pose. Luffy in his enthusiasm votes to go to the island, though most of the crew were reluctant to go because of the sea of fire blocking their way.","Tue, Jan 8, 2013",7.5
579,580, Shakunetsu no Tatakai! Luffy Tai Kyodai Ryuu!,"Luffy and Zoro start fighting the dragon, which is shown to be able to speak and breathe fire.","Sun, Jan 13, 2013",7.4
580,581,Ichimi Souzen! Shougeki no Kubi dake Samurai Toujou!,"Luffy, Zoro, Usopp, and Robin are standing near the dead dragon that Zoro killed and Luffy is trying to pull out the man who is stuck in the dragon's body.","Sun, Jan 20, 2013",7.1
581,582,Kyougaku! Tsui ni Akasareru Shima no Himitsu,"Franky, Sanji, Nami and Chopper are surprised that the samurai is still alive after being cut.","Sun, Jan 27, 2013",7.3
582,583, Kodomo-tachi o Sukue! Ichimi Sentou Kaishi,"Nami's group escaped the prison cell and end up in the Biscuits Room, where they find giant children.","Sun, Feb 3, 2013",7.1
583,584,Kenjutsu Shoubu: Brook Tai Nazo no Doutai Samurai,"At the lake, Luffy's group have been attacked by Brownbeard and his centaur unit who's job was to intercept and eliminate any obvious intruders.","Sun, Feb 10, 2013",7.5
584,585, Shichibukai! Trafalgar Law,"Chopper and Nami, leading the children stumble upon a room with people frozen in it. Franky, Sanji and the samurai start to make their way towards Nami and Chopper. Luffy, Zoro, Usopp and Robin get attacked by the centaurs.","Sun, Feb 17, 2013",7.8
585,586,Dai Pinch: Luffy Gokkan no Mizuumi ni Shizumu,"Luffy, Zoro, Usopp and Robin try to get to the ice side of Punk Hazard but their ship gets capsized by Brownbeard. As Brownbeard's troop prepares attack them again, Zoro gets ready to destroy their bullets but gets dragged down by sharks.","Sun, Mar 3, 2013",7.8
586,587, Gekitotsu! Law VS Smoker Chuujou,"Law was going to to cut up Tashigi into little pieces but Smoker saved her and started fighting against Law. Luffy, Zoro, Robin and Usopp are riding on top of Brownbeard after defeating him and his centaurs.","Sun, Mar 17, 2013",8.2
587,588,2 Nenburi no Saikai! Luffy to Law,Tashigi tries to see what happened in the fight. Luffy's group sees the flying warship. Luffy sees Law and thanks him for saving him two years ago. Law says that they aren't friends and Luffy agrees since they were both after One Piece.,"Sun, Mar 24, 2013",7.8
588,589,Sekai Saiaku Kyoufu no Kagakusha Caesar,The G-5 Marines discussed if Caesar Clown was probably behind the unusual events at the island and that the child abduction cases in that area may have been real.,"Sun, Mar 31, 2013",7.3
589,590,Jijou Saikyou Colabo VS Umi no Taishokukan,"Featured characters of One Piece, Toriko, and Dragon Ball Z enter the IGO tournament in order to gain the Carat meat, which is said to be the most tasteful in the world. However, it leads in a tie between Goku, Toriko, and Luffy.","Sun, Apr 7, 2013",5.6
590,591,Chopper Gekido Master Hidounaru Jikken,"The children and the Straw Hat Pirates are in a cave with Brownbeard tied up talking about the Master. Zoro, Sanji and Brook go to look for Kin'emon, who had gone to look for his torso.","Sun, Apr 14, 2013",7.4
591,592,Ichimi Massatsu! Densetsu no Koroshiya Raishuu!,"Yeti Cool Brothers make their way to the destroyed lab where the Straw Hats and the children are. Monet tells Caesar Clown about Law having some relation to Luffy, which makes Caesar mistrust Law until Law reassures him.","Sun, Apr 21, 2013",7.1
592,593,Nami o Sukue! Luffy Yukiyama no Tatakai,Chopper tells the others that Nami in Franky's body was kidnapped by the Yeti Cool Brothers. Franky in Chopper's body takes a Rumble Ball. Luffy and Franky go after the Yeti Cool Brothers to save Nami and defeat them.,"Sun, Apr 28, 2013",7.6
593,594,Kessei! Luffy-Law Kaizoku Doumei!,"Luffy and Law agree on an alliance; the rest of the Straw Hat Pirates disapprove while Nico Robin approves, even if she warns Luffy about a possible betrayal in a pirate alliance.","Sun, May 5, 2013",7.8
594,595,Master o Toraero: Kaizoku Doumei Sakusen Kaishi!,"Zoro, Sanji and Brook are trying to find the samurai and remember what happened to them. They had been knocked out by the Yeti Cool Brothers, who used a gas that makes people drunk.","Sun, May 12, 2013",7.4
595,596,Zenmetsu no Kiki: Shi no Monster Hirai,Luffy declares that he will capture Caesar. Law will distract Monet while Chopper finds an antidote for drug.,"Sun, May 19, 2013",7.3
596,597, Dai-Gekisen: Caesar Shin no Nouryoku Hatsudou!,"Sanji, Kin'emon, Brook and Zoro see Smiley. Brook talks about a story of a creature called Slime which melts the clothes of women, making everyone act perverted except for Zoro, who points out that the slime is killing the fish in the lake.","Sun, May 26, 2013",7.9
597,598,Honoo Kirisaku Samurai! Kitsunebi no Kin'emon!,Law's heart is crushed by the mysterious man named Vergo who was sent along with Monet to watch over Caesar.,"Sun, Jun 2, 2013",7.5
598,599,Shougeki! Nazo no Otoko Vergo no Shoutai!,Law gets beaten up by Vergo. Yarisugi tells the parents of the missing children that they are dead. Caesar takes the children from Usopp and Nami.,"Sun, Jun 9, 2013",7.6
599,600, Kodomo-tachi o Mamore! Semaru Master no Ma no Te,"As Luffy and Law remain captives in Caesar's lab along with the others who were captured, Caesar Clown goes to retrieve the children from the remaining Straw Hat Pirates.","Sun, Jun 16, 2013",7.2
600,601,Shin Sekai Gekishin: Caesar Akumu no Jikken,"G-5 Marine soldiers try to break into the lab. Meanwhile, Mocha starts to doubt Caesar and his subordinates.","Sun, Jun 23, 2013",7.2
601,602,Shijou Saiaku no Satsuriku Heiki! Shinokuni,"Smiley eats the candy and begins its transformation, wreaking havoc on Punk Hazzard.","Sun, Jun 30, 2013",7.3
602,603,Hangeki Kaishi! Luffy-Law Daidasshutsu,"As the Underworld Brokers watch the video feed of the captive Straw Hats and Marines, Eustass Kid and Killer decided to ignore it for more important matters, such as forming alliances.","Sun, Jul 7, 2013",7.7
603,604,Mezase R-tou! Kaizoku Doumei Kaishingeki!,"Although they made it into the lab, the Straw Hat Pirates left a large hole in the side of it, allowing Shinokuni to spread.","Sun, Jul 14, 2013",7.5
604,605,Tashigi no Namida: G-5 Kesshi no Toppa Sakusen,"Caesar Clown orders the passage between building A and B to be closed, allowing Shinokuni to kill the intruders.","Sun, Jul 21, 2013",7.3
605,606,Uragiri no Chuujou! Kichiku no Vergo,"After getting through the gates and thinking they're safe, G-5 Marines get a surprise visit from Vice Admiral Vergo.","Sun, Jul 28, 2013",7.4
606,607,Hakunetsu no Gekisen: Luffy VS Caesar,"Luffy finally reaches Caesar and attacks him, while Smoker leaves in order to find Vergo.","Sun, Aug 11, 2013",8.0
607,608,Yami no Kuromaku! Doflamingo Ugoku!,"Law walks into the SAD room, Vergo speaks with Doflamingo about Law while Baby 5 attacks him.","Sun, Aug 18, 2013",7.5
608,609,Luffy Toushi!? Kyoufu no Yukionna Monet!,"Chopper uses Monster Point, trying to prevent the children from taking more candy. Luffy faces Monet and gets trapped but manages to make a hole in the floor and escape.","Sun, Aug 25, 2013",7.6
609,610,Butsukaru Kobushi! Futari no Chuujou no Tatakai,"Smoker and Vergo begin their fight in the SAD Room. At the same time, Sanji, Tashigi, and the G-5 Marines are running through the battle-torn B-block when a gas tank explodes, causing Shinokuni to get in.","Sun, Sep 1, 2013",7.3
610,611,Chiisana Dragon! Momonosuke Arawaru,"Luffy meets Momonosuke in the garbage dump of Block C. In a flashback, Momonosuke didn't want the candy Caesar gave out to the children and he got hungry so he ate a devil fruit which turned him into a dragon.","Sun, Sep 8, 2013",7.3
611,612,Fubuki no Shitou: Mugiwara no Ichimi Tai Yukionna,"Luffy and Momonosuke are still trying to get out of the garbage chute. Caesar is watching Monet fighting Zoro. Usopp, Brook and Kin'emon are trying to find the sea stone cuffs and Momonosuke.","Sun, Sep 15, 2013",7.5
612,613,Ougi Sakuretsu! Zoro Saikyou no Ittou-ryuu!,"Mocha is still running away with the candy, and the children are chasing her. Chopper, Nami, and Robin come to her and the children's aid. At the Biscuit Room, Zoro and Tashigi battle Monet.","Sun, Sep 22, 2013",9.0
613,614,Tomodachi o Mamoru! Mocha Inochi-gake no Tousou,"Luffy and Momonosuke manage to escape from the garbage chute and attack Caesar's subordinates, asking them where Caesar is. Mocha sacrifices herself and eats the candy.","Sun, Sep 29, 2013",7.9
614,615,Chahige Hitsuu! Luffy Ikari no Ichigeki,Zoro carries Tashigi away from the poisonous gas. Sanji and the G-5 marines continue to assist Chopper to vaccinate the children.,"Sun, Oct 6, 2013",7.9
615,616,Shougeki no Kecchaku! Smoker Tai Vergo!,"Smoker continues his fight with Vergo. The Straw Hat Pirates, G-5 Marines and the children run from the gas and continue to head towards building R-66. Usopp stumbles over the surveillance room where some of Caesar's men open fire at him.","Sun, Oct 13, 2013",9.2
616,617,Caesar Gekiha! Saikyou no Grizzly Magnum,Vergo attempts to kill Law even though he is cut down. The Straw Hats continue their struggle to escape the poisonous gas.,"Sun, Oct 20, 2013",8.1
617,618,Shuurai! Dressrosa kara no Shikaku,"Luffy defeats Caesar and sends him flying out of the facility. The Straw Hats, G-5, the children and Law made it to Building R-66 where they prepare to leave the building. Baby 5 and Buffalo attempt to rescue Caesar.","Sun, Oct 27, 2013",7.6
618,619,Ooabare! Muteki no Franky Shougun,Franky begins to attack the two Donquixote pirates who retaliated with Baby 5 turning into weapons and Buffalo launching her at their robot foe.,"Sun, Nov 3, 2013",7.8
619,620,Zettai Zetsumei! Punk Hazard Dai-Bakuhatsu,The Straw Hats are still racing towards the exit of the collapsing lab when they felt the explosion of the SAD room and then saw Shinokuni on their trail.,"Sun, Nov 10, 2013",7.9
620,621,Caesar o Hokaku-seyo - General Canon Sakuretsu,"General Franky puts up a good fight against Buffalo and Baby 5. He sends them flying away with a General Cannon, but the two refused to stay defeated despite their injuries.","Sun, Nov 17, 2013",7.9
621,622,Kandou no Saikai! Momonosuke to Kin'emon,"While the group celebrates their victory, Smoker talks with Law about him manipulating Luffy, but Law says that its the other way around.","Sun, Nov 24, 2013",7.7
622,623,Sekibetsu no Toki - Punk Hazard Shukkou!,"The Straw Hats and G-5 Marines part ways. Flying over the ocean, Doflamingo approaches a life raft with Baby 5 and Buffalo's heads hanging on it, which were apparently cut off by Law.","Sun, Dec 1, 2013",7.6
623,624,G-5 Kaimetsu! Doflamingo Kyuushuu!,"Caesar Clown's former minions go in a search for those who were petrified by Shinokuni. All a sudden, Doflamingo appears and kills majority of the G-5 Soldiers.","Sun, Dec 8, 2013",8.2
624,625,Kinpaku! Aokiji tai Doflamingo,"Doflamingo prepares to finish Smoker off, but is stopped by Kuzan's ice. At the Thousand Sunny, Law tells some details about the recently formed pirate alliance.","Sun, Dec 15, 2013",8.0
625,626,Kieta Caesar! Kaizoku Doumei Shutsugeki,"Smooth seas stretch out before the Straw Hats as they leave Punk Hazard far behind - but while they fear Doflamingo's return and prepare to face him, another foe lies in wait, whose powers could be their downfall.","Sun, Dec 22, 2013",6.7
626,627,Luffy Umi ni Shisu!? Kaizoku Doumei Houkai,"Breed reveals his intentions. Breed commands Luffy and Law to fight each other in a stadium-like place, while Dugong begs him to make them stop.","Sun, Jan 5, 2014",6.7
627,628, Daigyakuten! Sakuretsu Luffy Ikari no Tekken,"Chopper and the dugong make an attempt to go against Breed, but Breed orders the other animals to attack them. At that point Law, Caesar and Luffy enter the room and Luffy knocks the animals out.","Sun, Jan 12, 2014",6.6
628,629,Gekishin! Shinsekai Ugokasu Dai News,"The world learns about Doflamingo's sudden resignation from the Shichibukai. Law explains his plan for the destruction of the factory. Meanwhile, Buggy is revealed to have become a Shichibukai during the time-skip.","Sun, Jan 19, 2014",8.1
629,630,Bouken! Ai to Jounetsu no Kuni Dressrosa,"The Straw Hat Pirates, Law, Kin'emon and Momonosuke arrive at Dressrosa. There they divide into 3 groups. A mysterious blind man appears.","Sun, Jan 26, 2014",7.8
630,631,Nekkyou Uzumaku: Corrida Colosseum,"After the blind man departs, the people in the bar start exclaiming over missing possessions, among which is Zoro's Shusui, the treasure of Wano Country.","Sun, Feb 2, 2014",7.9
631,632,Kiken na Koi: Odoriko Violet,"As Zoro searches for his missing katana, Sanji finds himself meeting a beautiful and stunning dancer named Violet who requires the services of Sanji in a dire matter.","Sun, Feb 9, 2014",7.7
632,633,Saikyou no Mumei Senshi! Lucy Toujou,"Luffy signs up for the tournament, and Franky requests him to not let anyone discover who he is. Meanwhile, Sanji is seen with Violet, wandering around Dressrosa.","Sun, Feb 16, 2014",7.7
633,634,Kaizoku Kikoushi Cavendish,The famous beautiful pirate Cavendish makes an entrance and proceeds to explain to Luffy (not realizing his identity) the rules of entertainment in the Colosseum.,"Sun, Feb 23, 2014",7.9
634,635,Unmei no Saikai: Hyena no Bellamy,"Luffy meets an unexpected acquaintance from the past, Bellamy. Meanwhile, the Caesar handover team learn about Green Bit, and on the Sunny, the four who remained to watch the ship hear noises from inside.","Sun, Mar 2, 2014",7.9
635,636, Choushinsei! Hitokui no Bartolomeo,The Block B battle begins. Bartolomeo is heckled by the crowd as he enters the colosseum. Cavendish tells Luffy about the competitors and reveals why he hates the new super rookies.,"Sun, Mar 16, 2014",7.9
636,637,Gun'yuu Kakkyo! Hakunetsu no B Block!,"Seeing that his true identity is exposed, Luffy tries to defend himself from Chinjao's devastating headbutts and Cavendish's irrational hatred while trying in vain to convince them he's ""Lucy""","Sun, Mar 23, 2014",7.8
637,638,Ichigeki Hissatsu! Kyoui no King Punch,"With Hack defeated and the remaining fighters reduced to 24, the battle royale is nearly over. Bellamy faces off Bartolomeo while at the same time Blue Gilly defeats Ricky.","Sun, Mar 30, 2014",8.0
638,639,Tougyo Shuurai! Shi no Tekkyou o Toppa Seyo,"Bartolomeo wins block B. Law, Usopp and Robin prepare to cross the bridge but are attacked by a school of Fighting Fish.","Sun, Apr 6, 2014",7.7
639,640,Bouken! Yousei no Shima Green Bit,"Upon their arrival to Green Bit, the group discovers a Marine ship that crashed and believed that the Marines had landed on the island. Robin and Usopp begin to scout the island as Law takes Caesar to the meeting point.","Sun, Apr 13, 2014",7.4
640,641, Shirarezaru Sekai Tontatta Oukoku,"Robin found herself captured by dwarves after they knocked her and Usopp unconscious. At the Colosseum, the C block battle royale has started, and Luffy is excited to win this for the prize.","Sun, Apr 20, 2014",7.5
641,642,Seiki no Bouryaku: Doflamingo Ugoku,"Sanji learns the truth about what happens before their arrival in Dressrosa and warns Law to get out of Green Bit. Unfortunately, it was too late as the Marines, Issho, and Doflamingo get to the exchange point as well.","Sun, Apr 27, 2014",8.4
642,643,Tenchi Yurugasu! Taishou Fujitora no Jitsuryoku,"Admiral Issho and Donquixote Doflamingo prepare to fight Trafalgar Law, who is trying to stall them long enough for the Straw Hat Pirates to accomplish their missions. In the Colosseum, Luffy tames the Fighting Bull.","Sun, May 4, 2014",8.4
643,644,Ikari no Ichigeki! Kyojin vs Lucy,The Straw Hat Pirates on-board the Thousand Sunny find themselves in a predicament as they are under attack by the Donquixote Pirates lead by Giolla who transformed the crew as well as the ship into abstract art.,"Sun, May 11, 2014",7.9
644,645,Hakai-hou Sakuretsu! Lucy Kikiippatsu,The battle Colosseum heats up as more fighters continue to drop one after another and the strongest and most infamous fighters begin to face each other.,"Sun, May 18, 2014",7.5
645,646,Densetsu no Kaizoku - Don Chinjao!,"The final two competitors of Block C, Lucy (Luffy) and Don Chinjao clash with conquerors Haki.","Sun, May 25, 2014",9.0
646,647,Hikari to Kage - Dressrosa ni Hisomu Yami!,Sanji and Kin'emon are watching Luffy's fight while observing in disguise the numerous marines surrounding the Colosseum waiting to arrest any criminal that exits the stadium.,"Sun, Jun 1, 2014",7.6
647,648, Shutsugeki - Densetsu no Hero Usoland,"Usopp, Robin and their dwarf allies are preparing for battle with the Donquixote Pirates to rescue their 500 captured dwarf comrades.","Sun, Jun 8, 2014",7.6
648,649,Gekisen Kecchaku! Lucy VS Chinjao!,Luffy's battle with Chinjao rages forward as they both use Busoshoku Haki in the ongoing fight.,"Sun, Jun 15, 2014",8.4
649,650,Luffy to Shukumei no Ken Toushi Rebecca,"As Luffy leaves the ring after winning Block C of the tournament, he is attacked by Cavendish. Bartolomeo reveals his connection to Luffy, and Chinjao attempts to thank Luffy for restoring his head.","Sun, Jun 22, 2014",7.9
650,651, Mamorinuku! Rebecca to Omocha no Heitai,Rebbecca's mother leaves her in the Flower Field to go back to town and bring back foot but is killed in the process. The Thunder Soldier carries her mother back and promising that he will protect her forever.,"Sun, Jun 29, 2014",8.0
651,652,Saigo no Chou Gekisen Ku - D Block Kaisen,"Block D begins their battle in the Corrida Colosseum. As Rebecca enters the arena, she is taunted by the crowd.","Sun, Jul 6, 2014",7.6
652,653,Kessen! Joura vs Mugiwara no Ichimi,"At Green Bit, Doflamingo reveals the founding of the World Government and informs Law that the royal family that ruled Dressrosa before the Riku Family was the Donquixote Family.","Sun, Jul 13, 2014",7.5
653,654,Yoshiken! Hakuba no Cavendish,"In the Corrida Colosseum, the battle of Block D continues as Cavendish and Rebecca defeat several opponents.","Sun, Jul 20, 2014",7.9
654,655,Dai Kessen! Sanji VS Doflamingo,"Sanji attacks Doflamingo but is defeated and saved by Law who brings him back to the Thousand Sunny. With Caesar Clown back in their control, Law orders the Straw Hats to head to Zou immediately.","Sun, Aug 3, 2014",8.4
655,656,Rebecca no Shi no Ken! Haisui no Kenbu,Trafalgar Law and Donquixote Doflamingo begin their duel with a bang on the iron bridge while the escaped Straw Hats are already on their way to Zou.,"Sun, Aug 10, 2014",7.7
656,657,Saikyou no Senshi! Logan vs Rebecca,"Bartolomeo searches for Luffy while he stumbles upon the infirmary with the losers of Block C. In the Colosseum, the crowd continues taunting the talented Rebecca.","Sun, Aug 17, 2014",7.6
657,658,Shougeki! Omocha no Heitai no Shoutai!,"After some conversation, Ricky reveals himself to be Riku Doldo III, the former king of Dressrosa and Rebecca's grandfather. In the flower fields, Gancho reveals the cruelty of the Donquixote Family from 800 years ago.","Sun, Aug 24, 2014",7.9
658,659,Senritsu no Kako! Dressrosa no Himitsu,"While the fight for block D continues, Thunder Soldier explains to the Straw Hat Pirates how King Riku lost the throne and respect of Dressrosa.","Sun, Aug 31, 2014",8.1
659,660,Akumu! Dressrosa Higeki no Ichiya,"While Doflamingo continues to control Riku Doldo III, his subordinates manage to take control of the castle with the help of an inside spy, who also took princess Viola hostage.","Sun, Sep 7, 2014",8.2
660,661, Shichibukai Taiketsu Law VS Doflamingo,"While Admiral Fujitora arrives at the shores of Dressrosa, there is a big ruckus in the city, with explosions and buildings being cut in half. Doflamingo finishes his fight with Law, shooting him three times.","Sun, Sep 14, 2014",9.1
661,662,Ryouyuu Aimamieru! Mugiwara to Ten Yasha,Admiral Fujitora and the Marines prevent Zoro from saving Law. A mysterious figure appears in the Colosseum.,"Sun, Sep 21, 2014",9.1
662,663,Luffy Kyougaku: Ace no Ishi o Tsugu Otoko,"Bartolomeo saves Bellamy from Dellinger who is called to guard the Toy House. Thunder Soldiers explains ""Operation SOP"". As Luffy looks for the Colosseum's exit, he is approached by Sabo.","Sun, Sep 28, 2014",9.4
663,664,SOP Sakusen Kaishi: Usoland Totsugeki,"At the Flower Field, the Dwarf army and the Straw Hats begin to move out, with Franky taking the front entrance via the toy house while the rest of the army take the secret underground tunnel that leads to the harbor.","Sun, Oct 5, 2014",7.6
664,665,Atsuki Omoi - Rebecca vs. Suleiman,The Colosseum D block battle is almost over with nearly 30 fighters remaining with Rebecca among them.,"Sun, Oct 12, 2014",7.5
665,666,Shousha Kettei!? D Block Shougeki no Ketsumatsu,"The last standing fighter is revealed to be Rebecca, making her the winner, much to the dissatisfaction of the disbelieving audience.","Sun, Oct 19, 2014",7.8
666,667,Taishou no Ketsudan - Fujitora vs. Doflamingo,"Viola shows Luffy's group a secret emergency lift, and the group boards it. In the Toy House, the battle between Franky and Senor Pink rages on, but they are then interrupted by the Marines.","Sun, Oct 26, 2014",7.9
667,668,Kesshou Kaishi: Eiyuu Diamante Toujou,"The contenders of the final round, Burgess, Bartolomeo, Lucy, Rebecca, and Diamante make their way in the Colosseum. Doflamingo questions why Luffy is in the tower when he should be in the Colosseum.","Sun, Nov 2, 2014",7.8
668,669,Ugoku Shiro! Saikou Kanbu Pica Shutsugen,"Luffy, Zoro and Viola make their way up the castle where they encounter Pica. At the Toy House, the Marines continue attacking Franky.","Sun, Nov 9, 2014",7.7
669,670,Ryuu no Tsume Sakuretsu! Lucy Kyoui no Ichigeki!,"Leo prepares to plant the Tatababasco grape in Sugar's bowl. Meanwhile, Kin'emon disguises himself to elude the Donquixote Pirates while Zoro has Luffy and Viola move on while he fights Pica.","Sun, Nov 16, 2014",8.0
670,671,Tatou Sugar: Kodomo no Heitai Totsugeki!,"Zoro's battle with Pica continues as Luffy and Viola move forward. Meanwhile, the tower elevator makes it to the palace first floor as Lao G continues to attack Thunder Soldier.","Sun, Nov 23, 2014",7.7
